engine,model,shots,strategy,setting,direction_accuracy_mean,normalized_l2_mean,normalized_l2_median,num_api_errors,num_parse_errors,num_pairs,output_dir
rule_based,rule_based,0,-,-,0.4533333333333333,3.4460309872574633,1.8027756377319946,,,235,OUT/rule_based
hybrid,gpt-4.1,0,-,0shot,0.5494326241134752,3.287707010403913,1.5811388300841898,,,235,OUT/hybrid/gpt-4.1/0shot
hybrid,gpt-4.1,3,kind_hint_matched,3shot-kind_hint_matched,0.5829787234042553,3.1544286389763254,1.5,,,235,OUT/hybrid/gpt-4.1/3shot-kind_hint_matched
hybrid,gpt-4.1,3,static,3shot-static,0.5908510638297872,3.246374251059708,1.5,,,235,OUT/hybrid/gpt-4.1/3shot-static
hybrid,gpt-4o,0,-,0shot,0.5849645390070922,3.2637099384727075,1.6763054614240211,,,235,OUT/hybrid/gpt-4o/0shot
hybrid,gpt-4o,3,kind_hint_matched,3shot-kind_hint_matched,0.6091489361702128,3.1743918355363596,1.5811388300841898,,,235,OUT/hybrid/gpt-4o/3shot-kind_hint_matched
hybrid,gpt-4o,3,static,3shot-static,0.5783687943262411,3.3195885160227276,1.8027756377319946,,,235,OUT/hybrid/gpt-4o/3shot-static
hybrid,gpt-4o-mini,0,-,0shot,0.5035460992907801,3.500696207624895,1.8439088914585775,,,235,OUT/hybrid/gpt-4o-mini/0shot
hybrid,gpt-4o-mini,3,kind_hint_matched,3shot-kind_hint_matched,0.5330496453900709,3.4826668417950977,2.032240143290158,,,235,OUT/hybrid/gpt-4o-mini/3shot-kind_hint_matched
hybrid,gpt-4o-mini,3,static,3shot-static,0.5446808510638298,3.4956452303092305,1.886796226411321,,,235,OUT/hybrid/gpt-4o-mini/3shot-static
hybrid,gpt-5,0,-,0shot,0.6104255319148936,3.112663642806685,1.5,,,235,OUT/hybrid/gpt-5/0shot
hybrid,gpt-5,3,kind_hint_matched,3shot-kind_hint_matched,0.6297872340425532,2.947120274080901,1.5,,,235,OUT/hybrid/gpt-5/3shot-kind_hint_matched
hybrid,gpt-5,3,static,3shot-static,0.6343262411347518,3.0014395912744916,1.4832396974191326,,,235,OUT/hybrid/gpt-5/3shot-static
hybrid,gpt-5.5,0,-,0shot,0.6089361702127659,2.986283050866776,1.5,,,235,OUT/hybrid/gpt-5.5/0shot
hybrid,gpt-5.5,3,kind_hint_matched,3shot-kind_hint_matched,0.6019148936170212,3.057479875216287,1.5,,,235,OUT/hybrid/gpt-5.5/3shot-kind_hint_matched
hybrid,gpt-5.5,3,static,3shot-static,0.6502127659574468,3.038258937868828,1.4,,,235,OUT/hybrid/gpt-5.5/3shot-static
pure_llm,gpt-4.1,0,-,0shot,0.655886524822695,2.954831757080335,1.4142135623730951,0,0,235,OUT/pure_llm/gpt-4.1/0shot
pure_llm,gpt-4.1,3,kind_hint_matched,3shot-kind_hint_matched,0.6587943262411348,2.9092852131612177,1.4142135623730951,0,0,235,OUT/pure_llm/gpt-4.1/3shot-kind_hint_matched
pure_llm,gpt-4.1,3,static,3shot-static,0.6510638297872341,2.8579264172920236,1.4142135623730951,0,0,235,OUT/pure_llm/gpt-4.1/3shot-static
pure_llm,gpt-4o,0,-,0shot,0.5699290780141845,3.0708114434589726,1.5,0,0,235,OUT/pure_llm/gpt-4o/0shot
pure_llm,gpt-4o,3,kind_hint_matched,3shot-kind_hint_matched,0.6456028368794327,2.985381176989464,1.4035668847618201,0,0,235,OUT/pure_llm/gpt-4o/3shot-kind_hint_matched
pure_llm,gpt-4o,3,static,3shot-static,0.6030496453900709,3.1456318877540372,1.6583123951777,0,0,235,OUT/pure_llm/gpt-4o/3shot-static
pure_llm,gpt-4o-mini,0,-,0shot,0.3891489361702128,3.5736159206240994,2.0,0,0,235,OUT/pure_llm/gpt-4o-mini/0shot
pure_llm,gpt-4o-mini,3,kind_hint_matched,3shot-kind_hint_matched,0.4871631205673759,3.4064211381970018,1.6,0,0,235,OUT/pure_llm/gpt-4o-mini/3shot-kind_hint_matched
pure_llm,gpt-4o-mini,3,static,3shot-static,0.43439716312056736,3.530314355086068,1.8193405398660254,0,0,235,OUT/pure_llm/gpt-4o-mini/3shot-static
pure_llm,gpt-5,0,-,0shot,0.6632624113475177,2.843032734064401,1.4,0,1,235,OUT/pure_llm/gpt-5/0shot
pure_llm,gpt-5,3,kind_hint_matched,3shot-kind_hint_matched,0.7041843971631205,2.774730024936403,1.4,0,0,235,OUT/pure_llm/gpt-5/3shot-kind_hint_matched
pure_llm,gpt-5,3,static,3shot-static,0.6847517730496453,2.7965909550785817,1.4142135623730951,0,0,235,OUT/pure_llm/gpt-5/3shot-static
pure_llm,gpt-5.5,0,-,0shot,0.6679432624113475,2.917050639880279,1.4,0,0,235,OUT/pure_llm/gpt-5.5/0shot
pure_llm,gpt-5.5,3,kind_hint_matched,3shot-kind_hint_matched,0.6836170212765957,2.809390344517524,1.374772708486752,0,0,235,OUT/pure_llm/gpt-5.5/3shot-kind_hint_matched
pure_llm,gpt-5.5,3,static,3shot-static,0.6885815602836879,2.9505568343906226,1.4,0,0,235,OUT/pure_llm/gpt-5.5/3shot-static
